序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
1,920725,惠丰钻石,48.25,29.98,11.13,0.00,28.57,1.62,30.09,5.30亿,4156.99万,20.06亿,615.98
2,920339,恒太照明,14.04,25.13,2.82,0.00,7.64,2.76,28.07,1.49亿,1.51亿,21.23亿,亏损
3,301565,中仑新材,28.00,20.02,4.67,0.00,25.31,4.04,21.56,8.34亿,1.28亿,35.84亿,88.08
4,300179,四方达,43.13,20.01,7.19,0.00,16.39,0.74,21.62,24.64亿,3.74亿,161.30亿,122.00
5,300489,光智科技,140.02,20.00,23.34,0.00,11.01,0.96,20.36,20.04亿,1.39亿,194.14亿,316.67
6,300964,本川智能,102.00,20.00,17.00,0.00,18.78,1.38,21.05,9.96亿,5600.98万,57.13亿,163.00
7,300721,怡达股份,35.76,20.00,5.96,0.00,14.43,0.70,20.97,6.71亿,1.38亿,49.47亿,341.96
8,301205,联特科技,292.80,20.00,48.80,0.00,23.11,2.32,23.07,51.74亿,8340.47万,244.21亿,3118.13
9,301123,奕东电子,95.40,20.00,15.90,0.00,12.89,1.45,21.89,19.31亿,1.65亿,157.45亿,589.70
10,688172,燕东微,78.18,20.00,13.03,0.00,4.60,1.29,22.38,26.56亿,7.78亿,608.38亿,亏损
11,688006,杭可科技,39.44,19.99,6.57,0.00,9.17,3.40,21.57,20.51亿,6.04亿,238.09亿,46.47
12,300975,商络电子,37.55,19.97,6.25,0.11,25.96,1.36,17.44,45.29亿,4.92亿,184.77亿,25.13
13,920152,昆工科技,19.55,19.57,3.20,0.00,9.46,2.56,20.06,1.46亿,8210.19万,16.05亿,亏损
14,920971,天马新材,39.30,17.98,5.99,0.00,14.42,1.62,22.34,4.57亿,8570.28万,33.68亿,195.52
15,300710,万隆光电,45.91,17.63,6.88,0.00,17.77,1.75,18.88,5.54亿,7458.00万,34.24亿,亏损
16,301217,铜冠铜箔,119.08,16.84,17.16,0.00,6.47,1.44,21.88,59.59亿,8.29亿,987.19亿,232.07
17,688661,和林微纳,123.56,16.07,17.11,-0.35,6.23,1.58,21.95,10.72亿,1.52亿,187.67亿,亏损
18,688347,华虹公司,249.65,15.79,34.04,0.02,10.70,0.96,18.69,105.47亿,4.08亿,1017.95亿,777.07
19,301563,云汉芯城,242.61,15.53,32.61,0.01,44.81,1.47,26.82,14.64亿,1471.98万,35.71亿,76.50
20,301178,天亿马,58.49,15.41,7.81,0.10,10.70,2.27,14.66,2.94亿,4947.63万,28.94亿,1075.26
