事件序号,事件起始编号,事件终止编号
1,3,3
2,57,57
3,382,385
4,405,405
5,408,408
6,411,594
7,613,619
8,660,766
9,773,923
10,1026,1135
11,1140,1140
12,1142,1144
13,1259,1259
14,1346,1425
15,1445,1446
16,1451,1461
17,1482,1533
18,1572,1633
19,1642,1642
20,1660,1761
21,1877,1877
22,1880,1880
23,1882,1884
24,2069,2208
25,2221,2382
26,2386,2386
27,2452,2452
28,2455,2529
29,2534,2534
30,2547,2616
31,2719,2854
32,2904,2904
33,2906,2906
34,2908,2908
35,3059,3059
36,3191,3191
37,3208,3208
38,3240,3240
39,3349,3349
40,3352,3467
41,3473,3520
42,3570,3697
43,3736,3736
44,3745,3745
45,3820,3821
46,3959,3963
47,4017,4085
48,4106,4124
49,4130,4188
50,4212,4310
51,4314,4314
52,4316,4316
53,4318,4318
54,4904,4971
55,4974,5121
56,5124,5159
57,6218,6218
58,6237,6396
59,6450,6551
60,6626,6700
61,6719,6771
62,6785,6882
63,6885,6885
64,6887,6887
65,7356,7476
66,7481,7489
67,7498,7498
68,7607,7702
69,7717,7888
70,7891,7891
71,7921,7934
72,8556,8567
73,8571,8571
74,8617,8669
75,8670,8778
76,8823,8870
77,8891,8986
78,9059,9059
79,9124,9124
80,9129,9141
81,9275,9333
82,9342,9393
83,9422,9503
84,9506,9508
85,9625,9625
86,9627,9627
87,9630,9632
88,9835,9974
89,9993,10089
90,10202,10202
91,10214,10214
92,10218,10312
93,10330,10366
94,10376,10510
95,10512,10519
96,10523,10525
97,10527,10527
98,10530,10533
99,10535,10540
100,10600,10709
101,10721,10786
102,10792,10918
103,11164,11164
104,11166,11166
105,11169,11169
106,11209,11320
107,11383,11470
108,11491,11566
109,11658,11658
110,11660,11843
111,12143,12358
112,12414,12421
113,12429,12445
114,12490,12593
115,12721,12726
116,12790,12790
117,12891,13198
118,13221,13265
119,13268,13289
120,13561,13561
121,13614,13640
122,13645,13725
123,13731,13905
124,13910,13910
125,13957,13961
126,14084,14237
127,14271,14439
128,14548,14548
129,14550,14550
130,14559,14559
131,14590,14667
132,14668,14686
133,14710,14710
134,14712,14826
135,15308,15308
136,15327,15327
137,15379,15387
138,15396,15408
139,15418,15473
140,15489,15687
141,15706,15708
142,15860,15863
143,15885,15886
144,16062,16163
145,16166,16172
146,16187,16236
147,16238,16365
148,16533,16554
149,16564,16564
150,16566,16582
151,16633,16633
152,16635,16635
153,16746,16746
154,16748,16753
155,16789,16901
156,16952,17048
157,17213,17227
158,17277,17277
159,17508,17540
160,17765,17765
161,17767,17768
162,17796,17797
163,17844,17847
164,17897,17897
165,17998,18142
166,18199,18325
167,18372,18372
168,18406,18453
169,18466,18471
170,18535,18653
171,18670,18745
172,18799,18799
173,18801,18801
