发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间
20211019063917,关,关,关,30°C,0%,0,0分钟
20211019070154,关,关,关,30°C,0%,0,0分钟
20211019070156,关,关,关,30°C,0%,8,0分钟
20211019071230,关,关,关,30°C,0%,0,0分钟
20211019071236,关,关,关,29°C,0%,0,0分钟
20211019071602,关,关,关,30°C,0%,0,0分钟
20211019071608,关,关,关,29°C,0%,0,0分钟
20211019072005,关,关,关,30°C,0%,0,0分钟
20211019072010,关,关,关,29°C,0%,0,0分钟
20211019072153,关,关,关,30°C,0%,0,0分钟
20211019072159,关,关,关,29°C,0%,0,0分钟
20211019072217,关,关,关,30°C,0%,0,0分钟
20211019072219,关,关,关,29°C,0%,0,0分钟
20211019072226,关,关,关,29°C,0%,0,0分钟
20211019072354,关,关,关,30°C,0%,0,0分钟
20211019072400,关,关,关,29°C,0%,0,0分钟
20211019072757,关,关,关,30°C,0%,0,0分钟
20211019072803,关,关,关,29°C,0%,0,0分钟
20211019072827,关,关,关,30°C,0%,0,0分钟
20211019072833,关,关,关,29°C,0%,0,0分钟
20211019073010,关,关,关,30°C,0%,0,0分钟
20211019073016,关,关,关,29°C,0%,0,0分钟
20211019073046,关,关,关,30°C,0%,0,0分钟
20211019073052,关,关,关,29°C,0%,0,0分钟
20211019073116,关,关,关,30°C,0%,0,0分钟
20211019073123,关,关,关,29°C,0%,0,0分钟
20211019073129,关,关,关,30°C,0%,0,0分钟
20211019073135,关,关,关,29°C,0%,0,0分钟
20211019073207,关,关,关,30°C,0%,0,0分钟
20211019073213,关,关,关,30°C,0%,0,0分钟
20211019073225,关,关,关,29°C,0%,0,0分钟
20211019073231,关,关,关,30°C,0%,0,0分钟
20211019073237,关,关,关,29°C,0%,0,0分钟
20211019073249,关,关,关,30°C,0%,0,0分钟
20211019073302,关,关,关,29°C,0%,0,0分钟
20211019073314,关,关,关,30°C,0%,0,0分钟
20211019073320,关,关,关,29°C,0%,0,0分钟
20211019073326,关,关,关,30°C,0%,0,0分钟
